seats_flipped,party_a_final,party_b_final,party_a_majority,party_b_majority,p_min_b,p_maj_b,turnout
0,206,81,True,False,0.5239204837090157,0.2938850630685715,0.6894103642640721
2,204,83,True,False,0.6596377999088653,0.521441455289133,0.7121683684622588
2,204,83,True,False,0.8196938973193888,0.43350645928793397,0.6621076802029677
0,206,81,True,False,0.7637057228090626,0.28137124138190106,0.8456501596278154
2,204,83,True,False,0.8279881062542923,0.3606550039748801,0.7273493672073318
0,206,81,True,False,0.827103197605933,0.2458888124901777,0.6038777865686551
0,206,81,True,False,0.7943284547347028,0.17321589828228892,0.7649127997157599
0,206,81,True,False,0.6237389354986634,0.2161387872630191,0.7120231194535492
4,202,85,True,False,0.7332390446471477,0.5449485990096333,0.6734995798078978
3,203,84,True,False,0.7923833498937844,0.4541263144860111,0.8623479912055327
0,206,81,True,False,0.598132538513359,0.17648612784405437,0.803256927552073
2,204,83,True,False,0.703361382615208,0.40819300394310226,0.843577458017291
1,205,82,True,False,0.5014575984787075,0.49392571252728107,0.6917711666739349
1,205,82,True,False,0.5791266747481079,0.4871213547687401,0.8892792517462786
0,206,81,True,False,0.7525977828502044,0.27267767917206087,0.7145749424429098
0,206,81,True,False,0.7550469864984032,0.22138776393362541,0.6885577963375495
1,205,82,True,False,0.7086907137212891,0.44324212156947923,0.7194754932524028
0,206,81,True,False,0.6891546408767646,0.24783125977969472,0.7049032517631929
0,206,81,True,False,0.5265849220552021,0.3539879619888863,0.6781046109521486
0,206,81,True,False,0.5026888870676087,0.2542455291541553,0.8564729505662241
3,203,84,True,False,0.857188359639861,0.4576295454784484,0.7027824427547854
0,206,81,True,False,0.6642117990273761,0.1517200824139354,0.7348807725152448
0,206,81,True,False,0.5214044918065106,0.31926387390432065,0.8438239234118753
2,204,83,True,False,0.8417779345467856,0.3947288717709609,0.7844000103022272
0,206,81,True,False,0.7515891102371707,0.20883762037337514,0.6354631829167225
0,206,81,True,False,0.8523895700087079,0.16730177413899952,0.6383497294136408
1,205,82,True,False,0.6892614701760247,0.4379561214837668,0.8875970074888712
0,206,81,True,False,0.6716709970343486,0.33178436245938947,0.6960753385333046
1,205,82,True,False,0.6476520694215464,0.4069779194214879,0.8673839159889007
1,205,82,True,False,0.8643591349075856,0.19479332954851492,0.7106256159200701
1,205,82,True,False,0.534796436541102,0.5422080481427234,0.6448442067002551
5,201,86,True,False,0.8726289787718874,0.5402007386154757,0.601692510130976
1,205,82,True,False,0.7863125660051788,0.3436333717041748,0.6331166892597827
1,205,82,True,False,0.8077811446204797,0.3218970016743082,0.7476647148014764
1,205,82,True,False,0.8296300447978998,0.272604800721214,0.6927670109666567
2,204,83,True,False,0.7662806147506546,0.4158623384339519,0.8255763502079094
0,206,81,True,False,0.5595832838888428,0.2920893761284743,0.7263696157406127
0,206,81,True,False,0.7616296502837138,0.1758192014638102,0.6356667314894817
2,204,83,True,False,0.806966041146322,0.36551954847128154,0.7635066771527372
2,204,83,True,False,0.7452008793227823,0.43539265263334337,0.8448252481580242
0,206,81,True,False,0.7390962993534258,0.3160777813301055,0.7912668619639929
1,205,82,True,False,0.8646006944264982,0.2360155124778343,0.6096918042883974
1,205,82,True,False,0.8493882949847242,0.2663233132219519,0.6833996847596363
0,206,81,True,False,0.8363139500549883,0.16545867916606638,0.656149496062925
0,206,81,True,False,0.6639064832677802,0.1772900648822456,0.6840555982418034
9,197,90,True,False,0.856597193332747,0.5292966103025033,0.737293298246751
0,206,81,True,False,0.5131059079559243,0.37127890367122024,0.6504050442663928
2,204,83,True,False,0.8307007114292159,0.3731986190650824,0.7730148992593519
5,201,86,True,False,0.8423270722787918,0.45068839311819836,0.8656534184406554
0,206,81,True,False,0.7127175830825957,0.24488378991403797,0.8807550887402084
1,205,82,True,False,0.7983776129708752,0.40677739083644576,0.6842825785059564
2,204,83,True,False,0.8670491328324469,0.41878434451368357,0.7584488714771589
1,205,82,True,False,0.8973671487204218,0.23082989888985028,0.6797923903741341
0,206,81,True,False,0.6598727336194632,0.34442125009664565,0.8077766987849475
0,206,81,True,False,0.7600358072013865,0.2872795565625907,0.7328363498667425
4,202,85,True,False,0.6993919682022245,0.5234270174893129,0.7839775435594141
1,205,82,True,False,0.5571403548693743,0.4751603099449313,0.6639777365030709
1,205,82,True,False,0.8723798679431569,0.2739719171980867,0.7733426852740434
0,206,81,True,False,0.6318952118848087,0.2965430795917844,0.6702902642310605
2,204,83,True,False,0.8108625334611538,0.48962230106328536,0.7146310964206272
0,206,81,True,False,0.7375812411861039,0.2671464778591086,0.8138954067672641
2,204,83,True,False,0.7853098487875793,0.3392151560426878,0.8905898279335669
0,206,81,True,False,0.5740804326484961,0.24064383528107464,0.8664475067240711
3,203,84,True,False,0.790256633057257,0.4894847766719245,0.6350114940523486
0,206,81,True,False,0.6877841823408094,0.1617991851071531,0.7642169133450657
0,206,81,True,False,0.6203542558675147,0.23483689592654894,0.7884244431112308
0,206,81,True,False,0.7769114802122601,0.291673563584502,0.6385800797494995
0,206,81,True,False,0.6264204164775933,0.41364317756660957,0.6100471668934733
3,203,84,True,False,0.8890274599906891,0.33487117451033593,0.8152168981337712
0,206,81,True,False,0.5486013442351764,0.37016741928929986,0.609236996381593
3,203,84,True,False,0.8826312249739506,0.32076783576673035,0.8133254826319712
0,206,81,True,False,0.567301398844172,0.4071691067814103,0.8684069285939737
1,205,82,True,False,0.8883635038303762,0.24214624386275324,0.8786025335749139
2,204,83,True,False,0.8619820486085673,0.35979699935710524,0.7115142206015908
2,204,83,True,False,0.6915086538203691,0.5380800014022523,0.6691524278939325
2,204,83,True,False,0.7849677388611359,0.40095308995974016,0.7610559384996154
0,206,81,True,False,0.5934845727544087,0.27793290823653705,0.7441630771828961
0,206,81,True,False,0.8298119533690818,0.25640760273354013,0.6551359423705657
1,205,82,True,False,0.8217128342233896,0.1949165554201404,0.8825619250212934
0,206,81,True,False,0.6516878231240429,0.34122066388603733,0.7296682640210955
0,206,81,True,False,0.5835090832147924,0.3907006194669919,0.7311022217670499
0,206,81,True,False,0.6845673707613815,0.1904214046302178,0.8939770017302726
1,205,82,True,False,0.5956146617669357,0.4379294847243019,0.6568135513242774
0,206,81,True,False,0.5533796334053571,0.16814772949177528,0.678126023328385
0,206,81,True,False,0.6977632546556863,0.25009373656479594,0.8512955764226429
3,203,84,True,False,0.8587748330428225,0.35895846370963586,0.8398630755196321
1,205,82,True,False,0.62742887390751,0.4519068009256532,0.8776375705696337
3,203,84,True,False,0.7189304374454456,0.47577838754377755,0.7355509790369644
0,206,81,True,False,0.6548956872142794,0.27774566632178277,0.677177824696951
0,206,81,True,False,0.7163739224263823,0.21064792898669427,0.7726326172031022
1,205,82,True,False,0.8268768621362544,0.2119792318538028,0.784375101960066
6,200,87,True,False,0.839773330325841,0.4694063968341181,0.8778847267427297
0,206,81,True,False,0.7046548012079431,0.3205029162832232,0.8852239338256308
0,206,81,True,False,0.5591389283508009,0.184397285052599,0.8880547965922965
0,206,81,True,False,0.691512741724377,0.23951887677167102,0.7969059221649742
0,206,81,True,False,0.5254366811439107,0.43626625426158017,0.6314131093390943
0,206,81,True,False,0.5597457388750362,0.2697462879461473,0.6240179821851249
0,206,81,True,False,0.5909420586965561,0.2058426255656142,0.8611525280311154
2,204,83,True,False,0.5843992142508004,0.5345639310881386,0.6039471848383893
2,204,83,True,False,0.749494372662116,0.4165060298703517,0.8983510610066472
0,206,81,True,False,0.8620259560102735,0.21542177631921686,0.6123251587858941
1,205,82,True,False,0.7493350393649426,0.37736457244350585,0.6179378131652347
0,206,81,True,False,0.8004688985438365,0.282668444290003,0.6475559320004203
0,206,81,True,False,0.5782964195249513,0.17619387059160804,0.74934564397206
0,206,81,True,False,0.5026883617940018,0.3937120290562172,0.8198340117654969
0,206,81,True,False,0.7264971169937451,0.28101386190972866,0.6480307977954154
0,206,81,True,False,0.5766112030150081,0.2111465166217764,0.6449753465485812
0,206,81,True,False,0.513227189380489,0.21897361804462565,0.6783819023580409
1,205,82,True,False,0.6881339975614775,0.4037256863083019,0.6471652916614872
0,206,81,True,False,0.5721677547270028,0.15814166645148967,0.6936870336577196
0,206,81,True,False,0.7629581609226918,0.23080958060716758,0.8296727948226135
2,204,83,True,False,0.8683506305998044,0.39022374433075485,0.7015813095348014
2,204,83,True,False,0.7996284346952968,0.4333189171219614,0.71476983864214
0,206,81,True,False,0.7272290377896963,0.22024149047430597,0.7855969964907098
0,206,81,True,False,0.5556153177073272,0.1819621488823747,0.8040408306130434
7,199,88,True,False,0.8765569773577202,0.44169356390859527,0.819600060250437
0,206,81,True,False,0.8184689672982817,0.1892320646704826,0.8799500815364886
6,200,87,True,False,0.8375047123533644,0.4784247856589043,0.7990191026675677
1,205,82,True,False,0.6664298562588092,0.45564904339102985,0.8753134815282949
1,205,82,True,False,0.5980014914319024,0.4505824805292391,0.720546633880138
6,200,87,True,False,0.8196046162137162,0.5019008881437047,0.8261498786569164
1,205,82,True,False,0.8598317981688568,0.18437159476383072,0.8235894589119005
2,204,83,True,False,0.8542847458789257,0.3075902844135371,0.7390911423449594
5,201,86,True,False,0.8689348170248609,0.40900035899840875,0.8677192281508757
2,204,83,True,False,0.7894228931821567,0.32224806639748105,0.7616609128931586
0,206,81,True,False,0.7864974057031556,0.1763232685831082,0.8514457016166546
0,206,81,True,False,0.6043131205191956,0.3059999048678765,0.8413599783785454
0,206,81,True,False,0.7342612420882679,0.29054376464604065,0.8774848660031985
2,204,83,True,False,0.7268302115859734,0.41867206186304196,0.8472313321311455
0,206,81,True,False,0.76680667652305,0.28935156083835667,0.7532035764158332
1,205,82,True,False,0.6678096379708123,0.38565534858400524,0.8848297499113771
5,201,86,True,False,0.7771145269697217,0.5059350234517866,0.8912515694634783
